EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type
1327112909844212224,58.261,39.3143,11.2,0.583,-305.599,2.969,-5.2284,0.0407,0.7823,0.0364,-0.1796,0.0,BHB
4415687045596285440,2.4324,43.6878,9.0,0.497,-43.4,2.347,-6.5589,0.0636,1.3804,0.0703,0.1288,0.0,BHB
3648406015932430336,347.9787,50.2951,9.9,0.528,-6.5,3.115,-4.0408,0.0662,-2.7626,0.0739,-0.076,0.0,BHB
4414818225251777024,358.77,43.4988,10.4,0.551,-15.3,3.438,-5.4891,0.0579,-1.1438,0.0538,-0.1547,0.0,BHB
3649817544048524800,349.5574,51.2961,20.2,1.183,265.2,5.324,-2.3671,0.1059,0.4529,0.096,-0.2205,0.0,BHB
4415632276173368832,1.0876,44.4413,13.4,0.766,-178.3,2.744,-4.1793,0.064,-0.2503,0.0653,-0.0808,0.0,BHB
3652994277954979840,348.2186,52.6342,13.8,0.775,51.9,3.389,-3.2944,0.0618,0.7015,0.0639,-0.2941,0.0,BHB
3708796417210602496,298.9556,68.0945,21.1,1.17,-73.5,6.987,-1.3133,0.1326,-1.6772,0.0937,-0.253,0.0,BHB
3708818643665712640,298.2239,68.3236,37.6,2.21,19.0,14.762,-1.4173,0.3012,-0.516,0.2395,-0.2648,0.988,BHB
3709097099280951808,295.899,68.7117,17.2,0.948,-72.0,4.336,-0.2454,0.0888,-2.6827,0.0802,-0.2056,0.0,BHB
1045086081374868992,156.8736,48.931,24.5,1.285,-187.7,6.635,2.0617,0.087,1.716,0.0822,0.05,0.0,BHB
1402703230445803520,80.0612,51.1038,13.9,0.762,-88.4,3.393,-0.7405,0.0523,3.8742,0.0529,-0.1415,0.0,BHB
1581340098632402176,127.0446,57.8288,10.7,0.599,-102.6,2.574,2.4626,0.0435,3.8382,0.0437,0.1934,0.0,BHB
3647523962793451520,342.8198,54.5259,46.4,2.614,48.7,16.001,-1.5939,0.3693,0.9092,0.3288,-0.3028,0.996,BHB
3646280896178436608,342.1755,52.6392,23.5,1.255,-111.901,6.36,-3.6841,0.1806,1.299,0.1583,-0.232,0.999,BHB
3646778188967424000,343.0308,54.2261,26.1,1.503,256.5,5.333,-2.6586,0.1626,-0.3392,0.1574,-0.2438,0.0,BHB
1352296085510960896,60.7816,40.2556,23.8,1.374,88.8,6.493,-0.8629,0.1111,-0.2637,0.0794,-0.1774,0.0,BHB
1331555589655189504,61.4875,41.28,25.3,1.387,-113.3,6.53,-1.3777,0.0949,1.5528,0.0996,-0.1725,0.0,BHB
1568047003053328384,123.1771,66.0046,9.0,0.491,-80.599,2.535,-2.4115,0.0258,4.6253,0.0293,0.117,0.0,BHB
6340513193764568064,354.6715,47.1749,31.0,1.76,-16.1,11.778,-3.5016,0.2004,0.2765,0.1937,-0.173,0.0,BHB
6340594802438979584,354.388,47.7946,19.0,1.142,192.1,4.833,-4.2641,0.099,0.9768,0.1029,-0.1992,0.0,BHB
3647038841942599680,339.9148,54.4786,14.8,0.76,194.8,4.068,-3.9076,0.0869,0.2441,0.0662,-0.3085,0.0,BHB
3647378964697666560,340.7327,54.53,25.9,1.398,-78.3,8.054,-3.0279,0.1754,0.8633,0.1625,-0.1262,0.999,BHB
3646611509876603904,341.1452,54.1078,6.5,0.351,315.401,2.434,-1.1969,0.0332,-5.9752,0.0287,-0.2584,0.0,BHB
3894487644625561088,280.6489,67.2386,14.2,0.713,25.9,3.192,0.0612,0.0707,-2.7635,0.055,0.0563,0.0,BHB
3647261939723842048,339.7404,55.1239,32.4,1.823,-105.1,10.327,-0.1681,0.1969,-0.7985,0.1807,-0.3251,0.0,BHB
3647263073595242496,339.9484,55.1065,10.6,0.57,-99.399,2.758,-3.2302,0.0565,-4.0559,0.0488,-0.3159,0.0,BHB
3647643161021039104,340.6149,54.9913,21.4,1.104,-47.3,4.644,-3.3538,0.1388,-0.4992,0.129,-0.3159,0.0,BHB
3647058839310370816,339.585,54.8096,46.2,2.571,13.8,14.801,-1.0971,0.4749,0.5449,0.4159,-0.2834,0.902,BHB
1410867623974327808,74.0374,44.143,21.4,1.145,-215.1,3.857,-1.5899,0.0852,2.3884,0.0685,-0.2128,0.0,BHB
1409703687837001216,71.2108,44.365,11.4,0.626,-125.3,2.147,0.0738,0.0451,2.8595,0.0311,-0.2984,0.0,BHB
1599234719094025216,87.5691,52.7342,14.7,0.761,-185.2,4.102,0.9442,0.0475,5.5762,0.0447,-0.0618,0.0,BHB
3813265346291954176,257.8841,60.387,11.1,0.618,21.9,2.499,0.6298,0.0423,-5.6299,0.0418,0.1664,0.0,BHB
1557586489944462592,118.1852,65.1877,19.0,0.982,-273.0,4.377,0.8777,0.0523,1.8805,0.0606,0.1071,0.0,BHB
1557074392404050688,115.3417,64.795,8.1,0.481,162.699,2.274,8.4444,0.0217,8.3485,0.0257,-0.0043,0.0,BHB
1557948779025982208,117.2328,63.9231,13.6,0.756,16.8,3.615,3.1883,0.0376,2.3198,0.0494,-0.0085,0.0,BHB
810180988377316864,171.4657,53.4063,15.0,0.777,84.0,3.469,3.2773,0.0485,-0.3383,0.046,0.2227,0.0,BHB
3894727127706647040,275.975,65.3566,19.6,1.015,130.5,4.141,-1.1312,0.0982,-2.5257,0.0774,0.1332,0.0,BHB
3812757161466044416,258.881,59.5242,9.9,0.526,16.5,2.754,1.8912,0.0614,-5.7356,0.0554,0.5496,0.0,BHB
3793514750202933248,265.5128,54.0893,36.6,1.918,-87.0,11.73,-0.508,0.2354,-0.0374,0.1982,0.1192,0.0,BHB
3796707177918521344,264.8866,55.2345,33.1,1.864,-44.5,10.505,0.4629,0.2186,-1.813,0.1915,0.4114,0.0,BHB
1404606931750199040,81.2537,47.0715,38.2,2.031,-187.8,11.997,-0.1911,0.1833,1.4593,0.1539,-0.1897,0.0,BHB
3787210970868080640,267.0511,53.4354,22.2,1.279,153.5,7.81,0.1793,0.1396,-0.7957,0.1321,0.2258,0.0,BHB
1404246433671110656,80.9242,48.2458,12.1,0.667,-105.2,3.139,-1.3928,0.041,4.0443,0.0359,-0.2037,0.0,BHB
3713136670641272832,327.169,65.0615,11.6,0.612,87.9,3.168,-1.8449,0.0603,-2.1974,0.0404,-0.5291,0.0,BHB
1052291146712192512,145.4686,47.2502,9.7,0.531,-140.8,2.553,2.4859,0.027,1.4988,0.0296,0.0237,0.0,BHB
3787451665130529280,266.0393,53.9272,7.8,0.44,50.201,2.446,5.9801,0.0548,-3.4949,0.0493,0.1624,0.0,BHB
1049259105959367552,144.799,48.4254,11.9,0.64,-25.899,3.128,0.8102,0.035,4.6893,0.0334,-0.0039,0.0,BHB
3713556168686848000,331.2952,63.6461,23.7,1.309,44.2,8.119,-2.1533,0.1388,-0.7617,0.1114,-0.3652,0.0,BHB
3714357437785559040,329.6746,64.2312,10.3,0.548,232.7,3.075,-3.5325,0.0517,-4.4125,0.0413,-0.4359,0.0,BHB
1580452311712063744,122.8783,55.1348,15.0,0.822,-158.099,3.891,-2.4149,0.0492,4.605,0.0542,0.1319,0.0,BHB
1580143933060387840,125.0834,56.0269,16.1,0.896,-44.9,4.234,2.3744,0.0495,1.9495,0.0515,0.0074,0.0,BHB
1052053239883506304,147.3064,46.8968,19.1,1.078,-89.1,4.638,1.0884,0.0706,2.7595,0.0676,0.0468,0.0,BHB
1600379413777916672,90.427,52.6542,45.8,2.472,-114.4,11.455,0.5379,0.261,1.113,0.2049,-0.2929,0.0,BHB
1600178409308367872,89.916,52.4294,8.9,0.475,-85.401,1.751,2.491,0.0316,4.6119,0.028,0.0086,0.0,BHB
