EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type, sgrb, r
3890217240246680576,222.106122,55.000347,24.57,3.289,-33.6,1.236,0.7453,0.0443,-2.6672,0.046,0.4725,0.999,KGiant,8.95,29.114699036740873
3890469646884970496,221.123337,55.339835,26.88,5.447,-67.2,2.561,0.2799,0.115,-2.1671,0.1341,0.5491,0.975,KGiant,8.3,31.369005403423298
3890487857546579456,221.07076,54.892878,28.02,4.676,-31.0,1.71,0.7971,0.0906,-2.2463,0.1001,0.4643,0.998,KGiant,8.56,32.5123530369612
3890333547961518080,221.445354,54.411064,19.04,4.725,-30.0,2.29,0.9247,0.0848,-2.5635,0.0965,0.4981,0.97,KGiant,9.03,23.87846519355882
3890480435843256832,221.068572,54.629374,24.36,3.904,-13.6,1.572,0.8147,0.0683,-2.048,0.0758,0.4277,0.992,KGiant,8.72,28.97765691010921
624382794801416064,219.163356,55.078315,49.13,8.063,194.1,2.307,0.4319,0.121,-0.9775,0.1011,0.4105,0.978,KGiant,7.58,53.356590970563325
3890541596177179136,220.319016,55.287092,20.63,3.316,-39.5,1.236,0.6906,0.0654,-2.3906,0.0825,0.4085,0.991,KGiant,7.98,25.383610854250033
3891002983039639040,220.031078,56.698269,70.66,6.184,187.4,1.574,0.2527,0.065,-0.5844,0.0694,0.4486,0.939,KGiant,6.98,74.55796872233041
731878404517265536,205.09174,66.672351,73.58,11.569,50.7,4.571,0.2689,0.1959,-1.1394,0.1465,0.4144,0.94,KGiant,-4.21,76.98003442451815
732015091851313664,203.611953,67.377399,23.86,4.628,-110.5,2.495,1.0912,0.1045,-2.1335,0.0678,0.6179,0.994,KGiant,-5.03,27.910016123248656
732186920607580288,203.817111,65.470985,25.15,5.032,-131.5,1.689,1.4141,0.0625,-2.1833,0.0612,0.2989,0.991,KGiant,-4.19,29.347896006357935
733120616433351808,200.817114,65.595706,24.72,5.906,-126.5,2.086,1.5144,0.0896,-1.8519,0.0786,0.4253,0.957,KGiant,-5.39,28.98018288417104
732377449652506496,200.565229,66.469762,27.78,4.052,-72.1,1.599,1.2869,0.0882,-1.9352,0.0753,0.4564,0.996,KGiant,-5.8,31.849684456835675
3977935556356280832,228.953738,67.654766,24.95,4.296,-40.3,1.548,0.4443,0.0686,-2.4827,0.0708,0.1415,0.994,KGiant,2.7,28.21906270590857
3972133845813250560,228.134982,66.392119,28.89,5.271,-16.5,1.322,0.2767,0.0646,-2.1792,0.0844,0.2255,0.997,KGiant,3.39,32.143347678796616
3971750288054523904,230.229945,66.073237,21.12,5.289,-47.4,1.486,0.2374,0.1378,-2.3994,0.1355,0.2222,0.969,KGiant,4.2,24.64184246358214
3990347672539738112,225.818152,67.534398,27.52,5.522,-75.5,2.016,0.7129,0.0968,-2.4565,0.0927,0.1532,0.987,KGiant,1.94,30.811687717487988
3978208097800921600,227.15202,67.643504,30.41,5.409,-27.1,2.017,0.4313,0.1029,-2.0734,0.1188,0.2125,0.995,KGiant,2.23,33.55297006227615
3797580366245389824,264.37099,57.479734,49.25,6.69,204.0,2.897,-0.8918,0.1165,-1.0009,0.1118,0.1126,0.915,KGiant,18.63,50.40204460138497
696483308448073472,197.861619,48.182985,22.96,3.599,-67.3,1.26,2.0536,0.0702,-2.4458,0.0955,0.223,0.992,KGiant,-0.86,28.96388268171241
668135149906228992,202.992854,20.210463,22.87,4.163,98.8,5.772,1.5191,0.088,-1.5947,0.1083,0.3304,0.986,KGiant,12.77,30.339296300342895
671053150687303296,202.586671,18.911953,15.64,2.088,-34.0,1.347,2.0964,0.0489,-2.6641,0.0533,0.277,0.995,KGiant,12.84,23.24895696585118
675408591123071104,197.534991,23.776488,15.26,2.392,-30.2,1.291,1.8611,0.0324,-3.8441,0.0517,0.3879,0.999,KGiant,6.83,22.87664529602188
